,PORTCODE,ASONDATE,VALUE
535,500135,18-05-2013,112.455172639239
536,500135,19-05-2013,112.455172639239
537,500135,20-05-2013,112.455172639239
538,500135,21-05-2013,112.455172639239
539,500135,22-05-2013,112.455172639239
540,500135,23-05-2013,112.455172639239
541,500135,24-05-2013,112.455172639239
542,500135,25-05-2013,112.455172639239
543,500135,26-05-2013,112.455172639239
544,500135,27-05-2013,112.455172639239
545,500135,28-05-2013,112.455172639239
546,500135,29-05-2013,112.455172639239
547,500135,30-05-2013,112.455172639239
548,500135,31-05-2013,124.431308580498
549,500135,01-06-2013,124.431308580498
550,500135,02-06-2013,124.431308580498
551,500135,03-06-2013,124.431308580498
552,500135,04-06-2013,124.431308580498
553,500135,05-06-2013,124.431308580498
554,500135,06-06-2013,124.431308580498
555,500135,07-06-2013,124.431308580498
556,500135,08-06-2013,124.431308580498
557,500135,09-06-2013,124.431308580498
558,500135,10-06-2013,128.419955026995
559,500135,11-06-2013,128.419955026995
560,500135,12-06-2013,128.419955026995
561,500135,13-06-2013,128.419955026995
562,500135,14-06-2013,128.419955026995
563,500135,15-06-2013,128.419955026995
564,500135,16-06-2013,128.419955026995
565,500135,17-06-2013,128.419955026995
566,500135,18-06-2013,128.419955026995
567,500135,19-06-2013,128.419955026995
568,500135,20-06-2013,128.419955026995
569,500135,21-06-2013,128.419955026995
570,500135,22-06-2013,128.419955026995
571,500135,23-06-2013,128.419955026995
572,500135,24-06-2013,128.419955026995
573,500135,25-06-2013,128.419955026995
574,500135,26-06-2013,116.835517402923
575,500135,27-06-2013,116.835517402923
576,500135,28-06-2013,116.835517402923
577,500135,29-06-2013,116.835517402923
578,500135,30-06-2013,118.206595863679
579,500135,01-07-2013,118.206595863679
580,500135,02-07-2013,118.206595863679
581,500135,03-07-2013,118.206595863679
582,500135,04-07-2013,118.206595863679
583,500135,05-07-2013,118.206595863679
584,500135,06-07-2013,118.206595863679
585,500135,07-07-2013,118.206595863679
586,500135,08-07-2013,118.206595863679
587,500135,09-07-2013,118.206595863679
588,500135,10-07-2013,118.206595863679
589,500135,11-07-2013,118.206595863679
590,500135,12-07-2013,118.206595863679
591,500135,13-07-2013,118.206595863679
592,500135,14-07-2013,118.206595863679
593,500135,15-07-2013,118.206595863679
594,500135,16-07-2013,118.206595863679
595,500135,17-07-2013,118.206595863679
596,500135,18-07-2013,118.206595863679
597,500135,19-07-2013,118.206595863679
598,500135,20-07-2013,118.206595863679
599,500135,21-07-2013,118.206595863679
600,500135,22-07-2013,118.206595863679
601,500135,23-07-2013,118.206595863679
602,500135,24-07-2013,118.206595863679
603,500135,25-07-2013,118.206595863679
604,500135,26-07-2013,118.206595863679
605,500135,27-07-2013,118.206595863679
606,500135,28-07-2013,118.206595863679
607,500135,29-07-2013,118.206595863679
608,500135,30-07-2013,118.206595863679
609,500135,31-07-2013,119.235944695311
610,500135,01-08-2013,119.235944695311
611,500135,02-08-2013,119.235944695311
612,500135,03-08-2013,119.235944695311
613,500135,04-08-2013,119.235944695311
614,500135,05-08-2013,119.235944695311
615,500135,06-08-2013,123.932872202387
616,500135,07-08-2013,123.932872202387
617,500135,08-08-2013,123.932872202387
618,500135,09-08-2013,123.932872202387
619,500135,10-08-2013,123.932872202387
620,500135,11-08-2013,123.932872202387
621,500135,12-08-2013,123.932872202387
622,500135,13-08-2013,123.932872202387
623,500135,14-08-2013,123.932872202387
624,500135,15-08-2013,123.932872202387
625,500135,16-08-2013,123.932872202387
626,500135,17-08-2013,123.932872202387
627,500135,18-08-2013,123.932872202387
628,500135,19-08-2013,123.932872202387
629,500135,20-08-2013,123.932872202387
630,500135,21-08-2013,123.932872202387
631,500135,22-08-2013,123.932872202387
632,500135,23-08-2013,123.932872202387
633,500135,24-08-2013,123.932872202387
634,500135,25-08-2013,123.932872202387
635,500135,26-08-2013,123.932872202387
636,500135,27-08-2013,123.932872202387
637,500135,28-08-2013,123.932872202387
638,500135,29-08-2013,114.489957682285
639,500135,30-08-2013,114.489957682285
640,500135,31-08-2013,113.464370673848
641,500135,01-09-2013,113.464370673848
642,500135,02-09-2013,113.464370673848
643,500135,03-09-2013,113.464370673848
644,500135,04-09-2013,113.464370673848
645,500135,05-09-2013,113.464370673848
646,500135,06-09-2013,113.464370673848
647,500135,07-09-2013,113.464370673848
648,500135,08-09-2013,113.464370673848
649,500135,09-09-2013,113.464370673848
650,500135,10-09-2013,113.464370673848
651,500135,11-09-2013,113.464370673848
652,500135,12-09-2013,113.464370673848
653,500135,13-09-2013,113.464370673848
654,500135,14-09-2013,113.464370673848
655,500135,15-09-2013,113.464370673848
656,500135,16-09-2013,113.464370673848
657,500135,17-09-2013,113.464370673848
658,500135,18-09-2013,113.464370673848
659,500135,19-09-2013,113.464370673848
660,500135,20-09-2013,113.464370673848
661,500135,21-09-2013,113.464370673848
662,500135,22-09-2013,113.464370673848
663,500135,23-09-2013,113.464370673848
664,500135,24-09-2013,112.081145249343
665,500135,25-09-2013,112.081145249343
666,500135,26-09-2013,112.081145249343
667,500135,27-09-2013,112.081145249343
668,500135,28-09-2013,112.081145249343
669,500135,29-09-2013,112.081145249343
670,500135,30-09-2013,112.353546215024
671,500135,01-10-2013,112.353546215024
672,500135,02-10-2013,112.353546215024
673,500135,03-10-2013,112.353546215024
674,500135,04-10-2013,112.353546215024
675,500135,05-10-2013,112.353546215024
676,500135,06-10-2013,112.353546215024
677,500135,07-10-2013,112.353546215024
678,500135,08-10-2013,112.353546215024
679,500135,09-10-2013,112.353546215024
680,500135,10-10-2013,112.353546215024
681,500135,11-10-2013,112.353546215024
682,500135,12-10-2013,112.353546215024
683,500135,13-10-2013,112.353546215024
684,500135,14-10-2013,112.353546215024
685,500135,15-10-2013,112.353546215024
686,500135,16-10-2013,112.353546215024
687,500135,17-10-2013,112.353546215024
688,500135,18-10-2013,112.353546215024
689,500135,19-10-2013,112.353546215024
690,500135,13-03-2017,412548253.89
691,500135,14-03-2017,412548253.89
692,500135,15-03-2017,412548253.89
693,500135,16-03-2017,412548253.89
694,500135,17-03-2017,412548253.89
695,500135,18-03-2017,412548253.89
696,500135,19-03-2017,412548253.89
697,500135,20-03-2017,412548253.89
698,500135,21-03-2017,412548253.89
699,500135,22-03-2017,412548253.89
700,500135,23-03-2017,412548253.89
701,500135,24-03-2017,412548253.89
702,500135,25-03-2017,412548253.89
703,500135,26-03-2017,412548253.89
704,500135,27-03-2017,412548253.89
705,500135,28-03-2017,412548253.89
706,500135,29-03-2017,412548253.89
707,500135,30-03-2017,412548253.89
708,500135,31-03-2017,408215440.66
709,500135,01-04-2017,408215440.66
710,500135,02-04-2017,408215440.66
711,500135,03-04-2017,408215440.66
712,500135,04-04-2017,408215440.66
713,500135,05-04-2017,408215440.66
714,500135,06-04-2017,408215440.66
715,500135,07-04-2017,408215440.66
716,500135,08-04-2017,408215440.66
717,500135,09-04-2017,408215440.66
718,500135,10-04-2017,408215440.66
719,500135,11-04-2017,408215440.66
720,500135,12-04-2017,408215440.66
721,500135,13-04-2017,408215440.66
722,500135,14-04-2017,408215440.66
723,500135,15-04-2017,408215440.66
724,500135,16-04-2017,408215440.66
725,500135,17-04-2017,408215440.66
726,500135,18-04-2017,408215440.66
727,500135,19-04-2017,408215440.66
728,500135,20-04-2017,408215440.66
729,500135,21-04-2017,408215440.66
730,500135,22-04-2017,408215440.66
731,500135,23-04-2017,408215440.66
732,500135,24-04-2017,408215440.66
733,500135,25-04-2017,408215440.66
734,500135,26-04-2017,408215440.66
735,500135,27-04-2017,408215440.66
736,500135,28-04-2017,408215440.66
737,500135,29-04-2017,408215440.66
738,500135,30-04-2017,444939708.99
739,500135,01-05-2017,444939708.99
740,500135,02-05-2017,444939708.99
741,500135,03-05-2017,444939708.99
742,500135,04-05-2017,444939708.99
743,500135,05-05-2017,444939708.99
744,500135,06-05-2017,444939708.99
745,500135,07-05-2017,444939708.99
746,500135,08-05-2017,444939708.99
747,500135,09-05-2017,444939708.99
748,500135,10-05-2017,444939708.99
749,500135,11-05-2017,444939708.99
750,500135,12-05-2017,444939708.99
751,500135,13-05-2017,444939708.99
752,500135,14-05-2017,444939708.99
753,500135,15-05-2017,444939708.99
754,500135,16-05-2017,444939708.99
755,500135,17-05-2017,444939708.99
756,500135,18-05-2017,444939708.99
757,500135,19-05-2017,444939708.99
